
***************************************
Calculating total value of all items...
***************************************

Total value: $8,717,398.45

***************************************
Calculating total value by bot...
***************************************

76561198583274760: $115,740.88 (517)
76561198262385748: $4,419.19 (727)
76561198251517162: $4,409.39 (698)
76561198376854578: $4,401.18 (574)
76561198254987148: $4,395.81 (607)
76561198253323558: $4,391.06 (693)
76561198299140451: $4,383.19 (689)
76561198307574539: $4,377.73 (679)
76561198584058664: $4,372.93 (578)
76561198584051852: $4,372.23 (585)
76561198300390425: $4,336.96 (657)
76561198301415735: $4,330.41 (727)
76561198740423146: $4,329.73 (542)
76561198254162421: $4,329.06 (645)
76561198299297891: $4,326.56 (730)
76561198589501976: $4,313.54 (388)
76561198411421408: $4,305.52 (116)
76561198254169135: $4,305.08 (670)
76561198401183092: $4,305.06 (230)
76561198262456612: $4,303.76 (742)
76561198583283406: $4,302.73 (638)
76561198254511130: $4,300.85 (619)
76561198253334834: $4,300.56 (702)
76561198251626476: $4,299.64 (755)
76561198301513922: $4,293.10 (677)
76561198305795766: $4,290.34 (602)
76561198307553151: $4,285.37 (582)
76561198308147690: $4,278.34 (582)
76561198262412632: $4,272.09 (630)
76561198583821423: $4,258.86 (434)
76561198262381346: $4,253.18 (772)
76561198300766047: $4,249.88 (605)
76561198262389995: $4,241.33 (807)
76561198303880510: $4,239.15 (705)
76561198254523626: $4,233.77 (703)
76561198255000961: $4,229.60 (575)
76561198300517630: $4,223.84 (602)
76561198377316226: $4,210.89 (634)
76561198305203486: $4,204.91 (695)
76561198583243713: $4,193.11 (484)
76561198219628909: $4,191.65 (736)
76561198399534447: $4,184.83 (372)
76561198401465868: $4,183.57 (108)
76561198262390884: $4,180.25 (670)
76561198300472398: $4,179.29 (627)
76561198300386425: $4,179.21 (752)
76561198253333494: $4,167.72 (772)
76561198253336207: $4,164.38 (709)
76561198253035982: $4,157.86 (737)
76561198398907991: $4,152.52 (327)
76561198411281426: $4,151.76 (235)
76561198305880347: $4,150.81 (632)
76561198306523083: $4,144.19 (404)
76561198299819954: $4,141.77 (601)
76561198305920475: $4,137.38 (646)
76561198253332520: $4,136.41 (740)
76561198306543566: $4,133.69 (472)
76561198251665798: $4,132.84 (620)
76561198255009496: $4,128.83 (598)
76561198219423235: $4,126.13 (667)
76561198251514306: $4,125.76 (680)
76561198583785005: $4,125.23 (638)
76561198304521753: $4,124.19 (782)
76561198307649485: $4,122.99 (476)
76561198254502314: $4,118.74 (613)
76561198254506446: $4,115.11 (691)
76561198253036588: $4,112.17 (739)
76561198300453450: $4,109.63 (582)
76561198219518077: $4,107.64 (667)
76561198299978055: $4,098.67 (629)
76561198583270830: $4,092.32 (665)
76561198584058009: $4,090.94 (336)
76561198254971869: $4,089.85 (763)
76561198254983612: $4,089.21 (664)
76561198262413420: $4,086.83 (616)
76561198262531747: $4,083.75 (604)
76561198300359267: $4,074.95 (747)
76561198303869707: $4,072.77 (539)
76561198254496305: $4,068.74 (736)
76561198254132738: $4,065.69 (779)
76561198307767684: $4,065.02 (477)
76561198398770616: $4,061.55 (535)
76561198299866414: $4,060.63 (655)
76561198307273067: $4,057.22 (579)
76561198301984338: $4,056.94 (564)
76561198254161439: $4,048.90 (727)
76561198583779765: $4,047.05 (532)
76561198583282751: $4,046.90 (530)
76561198306616628: $4,045.95 (460)
76561198262303815: $4,042.89 (624)
76561198254157717: $4,038.19 (705)
76561198306546255: $4,031.27 (593)
76561198303722588: $4,021.87 (633)
76561198254170066: $4,020.41 (679)
76561198299927777: $4,018.57 (822)
76561198376624038: $4,000.68 (367)
76561198303717977: $3,999.45 (660)
76561198301986642: $3,995.42 (648)
76561198306786218: $3,990.85 (618)
76561198254157410: $3,988.75 (709)
76561198307032454: $3,977.67 (668)
76561198308064762: $3,973.83 (625)
76561198378106243: $3,971.05 (593)
76561198583805703: $3,965.57 (555)
76561198253347029: $3,962.08 (682)
76561198311230314: $3,951.11 (399)
76561198583224849: $3,942.91 (502)
76561198254977351: $3,937.65 (610)
76561198310435055: $3,937.36 (614)
76561198583255110: $3,936.77 (397)
76561198300734132: $3,930.58 (780)
76561198378105588: $3,920.20 (630)
76561198254492814: $3,919.30 (691)
76561198305977947: $3,914.82 (509)
76561198254511107: $3,912.80 (695)
76561198399789216: $3,905.87 (207)
76561198254510253: $3,903.81 (724)
76561198583782778: $3,902.71 (411)
76561198251471764: $3,901.36 (696)
76561198307280235: $3,901.00 (411)
76561198306117543: $3,900.83 (722)
76561198301455436: $3,900.70 (633)
76561198254490626: $3,893.31 (679)
76561198403493716: $3,886.18 (264)
76561198215050219: $3,885.04 (622)
76561198301165174: $3,879.71 (763)
76561198300610973: $3,874.17 (667)
76561198303806641: $3,873.43 (618)
76561198306342719: $3,872.82 (469)
76561198583818672: $3,861.84 (634)
76561198254471756: $3,861.81 (755)
76561198299145276: $3,853.88 (469)
76561198583816838: $3,853.23 (564)
76561198254981633: $3,851.88 (661)
76561198253324526: $3,851.85 (701)
76561198219330493: $3,848.41 (713)
76561198583236377: $3,837.23 (465)
76561198300498265: $3,837.10 (600)
76561198398513162: $3,828.71 (389)
76561198254495955: $3,828.17 (730)
76561198306728463: $3,827.71 (526)
76561198254996658: $3,824.91 (660)
76561198254984866: $3,824.17 (716)
76561198377858155: $3,807.10 (366)
76561198300148178: $3,805.74 (693)
76561198583274236: $3,803.50 (484)
76561198299881430: $3,800.10 (661)
76561198300050660: $3,795.76 (722)
76561198254998867: $3,795.05 (669)
76561198301303426: $3,788.47 (599)
76561198305712491: $3,786.19 (706)
76561198412349713: $3,782.08 (301)
76561198401775691: $3,781.18 (572)
76561198262756076: $3,780.18 (635)
76561198583778324: $3,779.39 (720)
76561198306191642: $3,777.58 (594)
76561198583277249: $3,776.39 (542)
76561198201266397: $3,773.35 (722)
76561198583796533: $3,766.26 (519)
76561198254989722: $3,762.00 (656)
76561198307764118: $3,759.43 (460)
76561198307812867: $3,747.21 (700)
76561198304259880: $3,746.00 (714)
76561198583297816: $3,738.24 (421)
76561198303712370: $3,736.53 (651)
76561198301895094: $3,732.58 (740)
76561198184524243: $3,727.64 (707)
76561198584066917: $3,718.73 (540)
76561198307223472: $3,718.19 (678)
76561198254497074: $3,716.00 (761)
76561198254994082: $3,715.21 (645)
76561198311227085: $3,714.96 (468)
76561198253331578: $3,713.73 (694)
76561198299874336: $3,713.53 (655)
76561198262444455: $3,712.59 (687)
76561198254991860: $3,712.34 (686)
76561198306325635: $3,711.84 (683)
76561198247082180: $3,705.49 (752)
76561198254500076: $3,696.83 (707)
76561198305990337: $3,696.80 (537)
76561198399833862: $3,695.81 (380)
76561198401143594: $3,689.81 (322)
76561198583287205: $3,686.37 (678)
76561198214940037: $3,683.50 (672)
76561198301440371: $3,681.19 (712)
76561198254154681: $3,681.10 (635)
76561198583285764: $3,680.56 (629)
76561198219272497: $3,678.25 (681)
76561198306461561: $3,678.20 (657)
76561198247147164: $3,677.03 (700)
76561198255018951: $3,670.22 (641)
76561198305720220: $3,666.07 (478)
76561198254492039: $3,664.96 (674)
76561198589513111: $3,664.65 (438)
76561198253333028: $3,656.09 (667)
76561198306625411: $3,655.41 (524)
76561198306040102: $3,654.40 (556)
76561198253336879: $3,652.44 (660)
76561198306586653: $3,651.37 (512)
76561198583270175: $3,650.29 (470)
76561198300066110: $3,648.49 (670)
76561198589480230: $3,647.06 (500)
76561198304378548: $3,644.07 (637)
76561198299353748: $3,638.67 (604)
76561198301859310: $3,638.58 (606)
76561198254147869: $3,636.38 (687)
76561198583811860: $3,634.89 (492)
76561198254484288: $3,634.33 (604)
76561198306045737: $3,625.13 (610)
76561198304453291: $3,624.61 (750)
76561198262372773: $3,611.85 (728)
76561198376491131: $3,609.43 (522)
76561198376829956: $3,603.91 (470)
76561198251422094: $3,601.07 (694)
76561198254504544: $3,598.11 (603)
76561198299925947: $3,597.28 (696)
76561198583770464: $3,592.96 (425)
76561198377966556: $3,591.92 (344)
76561198262458937: $3,590.18 (629)
76561198583255896: $3,589.80 (851)
76561198306842070: $3,580.25 (699)
76561198254174483: $3,577.47 (731)
76561198305964440: $3,574.85 (635)
76561198583798498: $3,570.80 (452)
76561198376422763: $3,567.01 (535)
76561198301498202: $3,564.55 (455)
76561198308319878: $3,562.53 (504)
76561198398642010: $3,561.03 (72)
76561198310388609: $3,559.95 (690)
76561198299120034: $3,556.83 (677)
76561198254966767: $3,555.93 (662)
76561198306607770: $3,555.41 (566)
76561198254163625: $3,551.24 (735)
76561198254172197: $3,539.40 (633)
76561198306002995: $3,533.44 (614)
76561198301460348: $3,530.55 (576)
76561198303790540: $3,525.87 (577)
76561198253327947: $3,521.10 (713)
76561198584071109: $3,518.98 (450)
76561198303768949: $3,517.54 (642)
76561198399084558: $3,515.08 (361)
76561198398815245: $3,514.33 (500)
76561198254999888: $3,513.79 (692)
76561198376891634: $3,511.93 (449)
76561198255005041: $3,511.49 (649)
76561198300718763: $3,502.64 (562)
76561198589477479: $3,497.79 (564)
76561198303761780: $3,497.24 (600)
76561198301301199: $3,495.80 (694)
76561198299168324: $3,495.36 (655)
76561198306431763: $3,493.01 (761)
76561198376569007: $3,490.25 (453)
76561198299177407: $3,489.83 (716)
76561198184526762: $3,489.58 (628)
76561198305604151: $3,487.79 (649)
76561198253039883: $3,486.68 (713)
76561198376638045: $3,478.33 (387)
76561198304487627: $3,475.26 (571)
76561198377980798: $3,474.98 (430)
76561198583800332: $3,472.13 (604)
76561198583275284: $3,469.56 (476)
76561198303728411: $3,464.86 (770)
76561198304368008: $3,453.03 (650)
76561198299992943: $3,448.22 (718)
76561198303765856: $3,447.07 (589)
76561198303745523: $3,446.29 (744)
76561198254145749: $3,439.71 (627)
76561198305871976: $3,438.47 (687)
76561198310546913: $3,437.76 (559)
76561198299256213: $3,433.74 (634)
76561198262417610: $3,422.86 (770)
76561198306021335: $3,422.40 (670)
76561198253328281: $3,420.46 (690)
76561198254500189: $3,416.93 (652)
76561198308573872: $3,415.15 (518)
76561198583284454: $3,401.24 (546)
76561198377848247: $3,399.56 (379)
76561198262417302: $3,389.62 (651)
76561198255022328: $3,388.31 (634)
76561198253041252: $3,387.66 (630)
76561198376022098: $3,387.28 (353)
76561198253031458: $3,383.62 (758)
76561198305094365: $3,381.44 (526)
76561198251665680: $3,380.41 (224)
76561198411278806: $3,380.40 (234)
76561198583271485: $3,379.34 (399)
76561198412705728: $3,363.98 (310)
76561198255018570: $3,362.64 (792)
76561198411354513: $3,362.24 (111)
76561198402607330: $3,360.59 (247)
76561198251662974: $3,359.03 (650)
